name	threshold_10	threshold_20	threshold_30	threshold_40	threshold_50	threshold_60	threshold_70	threshold_80	threshold_90
M1239v1TS014_1	1	1	3	4	4	6	3	1	1
M1239v1TS014_2	1	1	3	4	4	6	3	1	1
M1239v1TS014_3	1	1	3	4	4	6	3	1	1
M1239v1TS014_4	1	1	3	4	4	6	3	1	1
M1239v1TS014_5	1	1	3	4	4	6	3	1	1
M1239v1TS014_6	1	1	3	4	4	6	3	1	1
M1239v1TS028_1	1	1	2	2	2	14	22	10	40
M1239v1TS028_2	1	1	2	2	2	14	22	10	41
M1239v1TS028_3	1	1	2	2	2	3	14	9	42
M1239v1TS028_4	1	1	2	2	2	3	14	9	43
M1239v1TS028_5	1	1	2	2	2	8	8	14	6
M1239v1TS033_1	1	1	1	1	1	2	4	5	4
M1239v1TS033_2	1	1	1	1	1	1	34	39	44
M1239v1TS033_3	1	1	1	1	1	1	11	40	45
M1239v1TS033_4	1	1	1	1	7	20	35	41	46
M1239v1TS033_5	1	1	1	1	3	2	10	42	47
M1239v1TS091_1	1	1	1	1	1	2	4	15	7
M1239v1TS091_2	1	1	1	1	3	2	10	16	8
M1239v1TS091_3	1	1	1	1	3	5	23	17	9
M1239v1TS091_4	1	1	1	1	1	11	24	18	10
M1239v1TS091_5	1	1	1	1	1	1	11	19	11
M1239v1TS110_1	1	1	1	1	1	1	1	43	48
M1239v1TS110_2	1	1	2	2	2	14	14	10	49
M1239v1TS110_3	1	1	1	1	3	5	7	44	50
M1239v1TS110_4	1	1	1	2	2	8	15	20	12
M1239v1TS110_5	1	1	1	2	2	3	9	21	13
M1239v1TS159_1	1	1	1	1	1	1	2	11	5
M1239v1TS159_2	1	1	1	1	1	1	2	7	3
M1239v1TS167_1	1	1	1	1	1	1	1	2	14
M1239v1TS167_2	1	1	1	1	1	1	1	2	15
M1239v1TS167_3	1	1	1	1	1	1	1	2	16
M1239v1TS167_4	1	1	1	1	1	1	1	2	17
M1239v1TS167_5	1	1	1	1	1	1	1	22	18
M1239v1TS204_1	1	1	1	2	2	3	25	23	19
M1239v1TS204_2	1	1	1	1	1	11	18	24	20
M1239v1TS204_3	1	1	1	1	1	4	1	45	51
M1239v1TS204_4	1	1	1	2	2	3	36	46	52
M1239v1TS204_5	1	1	1	1	1	4	1	47	53
M1239v1TS208_1	1	1	1	1	1	1	2	12	54
M1239v1TS208_2	1	1	1	1	1	1	2	12	55
M1239v1TS208_4	1	1	1	1	1	1	2	12	56
M1239v1TS231_1	1	1	1	1	3	2	10	48	57
M1239v1TS231_2	1	1	1	1	3	2	10	49	58
M1239v1TS235_1	1	1	1	1	8	15	26	50	59
M1239v1TS235_2	1	1	1	6	8	10	16	51	60
M1239v1TS235_3	1	1	1	1	8	10	16	52	61
M1239v1TS235_4	1	1	1	6	8	15	37	53	62
M1239v1TS235_5	1	1	1	1	8	15	26	54	63
M1239v1TS241_1	1	3	5	8	9	16	38	55	64
M1239v1TS241_2	1	2	2	3	5	7	39	56	65
M1239v1TS241_3	1	3	5	8	9	16	40	57	66
M1239v1TS241_4	1	2	4	3	10	21	41	58	67
M1239v1TS241_5	1	2	2	3	5	7	19	25	21
