target	model	t_id	m_id	residue_residue_cadscore	residue_residue_F1_of_areas	residue_residue_target_area	residue_residue_model_area	residue_residue_TP_area	residue_residue_FP_area	residue_residue_FN_area	chain_chain_cadscore	chain_chain_F1_of_areas	chain_chain_target_area	chain_chain_model_area	chain_chain_TP_area	chain_chain_FP_area	chain_chain_FN_area	renaming_of_model_chains	identity_of_residues	identity_of_atoms	identity_of_chains
9DXD-assembly1.cif	M1239v1TS481_4	214	98	0.305833	0.383015	19259.030893	9864.675971	7356.195198	11796.838669	11902.835694	0.821297	0.892888	19259.030893	18480.277805	17148.830653	2004.203215	2110.20024	.	100	100	100
9DXF-assembly1.cif	M1239v1TS481_4	215	98	0.281481	0.35828	19311.817793	9212.082117	6890.594035	12262.439833	12421.223758	0.808168	0.886198	19311.817793	18480.277805	17043.737035	2109.296832	2268.080758	.	100	100	100
9DXD-assembly1.cif	M1239v1TS462_3	214	92	0.256945	0.306717	19259.030893	7752.468281	6050.826186	14145.57478	13208.204707	0.467428	0.538183	19259.030893	13104.392156	10617.125259	9579.275707	8641.905634	.	100	100	100
9DXD-assembly1.cif	M1239v1TS462_4	214	93	0.25054	0.305233	19259.030893	7587.694863	5914.123972	13578.339032	13344.906921	0.502421	0.56182	19259.030893	12264.820952	10885.68458	8606.778424	8373.346313	.	100	100	100
9DXD-assembly1.cif	M1239v1TS462_2	214	91	0.248008	0.291693	19259.030893	7609.475047	5882.089083	15189.622481	13376.94181	0.528479	0.587945	19259.030893	13744.261943	11856.127668	9215.583896	7402.903225	.	100	100	100
9DXD-assembly1.cif	M1239v2TS110_4	214	129	0.243866	0.289256	19259.030893	7543.307683	5767.962746	14854.427203	13491.068147	0.484046	0.542941	19259.030893	14998.785194	10826.630008	9795.759941	8432.400885	.	100	100	100
9DXD-assembly1.cif	M1239v2TS294_5	214	182	0.243502	0.29526	19259.030893	7626.847548	5823.949735	14366.625313	13435.081158	0.488397	0.552829	19259.030893	12615.725939	10904.445283	9286.129765	8354.58561	.	100	100	100
9DXF-assembly1.cif	M1239v1TS204_2	215	34	0.243172	0.289282	19311.817793	7767.594157	5792.663139	14944.058101	13519.154654	0.800644	0.878603	19311.817793	19897.070857	17593.383323	3143.337918	1718.434471	.	100	100	100
9DXF-assembly1.cif	M1239v2TS204_1	215	138	0.243172	0.289282	19311.817793	7767.594157	5792.663139	14944.058101	13519.154654	0.800644	0.878603	19311.817793	19897.070857	17593.383323	3143.337918	1718.434471	.	100	100	100
9DXD-assembly1.cif	M1239v2TS294_2	214	179	0.243033	0.293147	19259.030893	7637.603352	5810.632852	14573.402491	13448.398041	0.507152	0.561532	19259.030893	12630.068014	11130.415752	9253.619592	8128.615141	.	100	100	100
9DXD-assembly1.cif	M1239v2TS294_3	214	180	0.241735	0.293194	19259.030893	7637.757486	5795.83482	14481.009484	13463.196072	0.523969	0.571579	19259.030893	12638.236805	11298.934106	8977.910198	7960.096786	.	100	100	100
9DXD-assembly1.cif	M1239v1TS110_3	214	23	0.241572	0.293474	19259.030893	7748.923543	5776.123641	14328.608345	13482.907252	0.52966	0.573984	19259.030893	14346.435131	11297.093526	8807.63846	7961.937367	.	100	100	100
9DXD-assembly1.cif	M1239v2TS294_4	214	181	0.235441	0.283473	19259.030893	7562.396833	5654.392587	14980.328026	13604.638306	0.493747	0.561566	19259.030893	13054.189797	11201.481111	9433.239502	8057.549782	.	100	100	100
9DXD-assembly1.cif	M1239v2TS294_1	214	178	0.233742	0.284885	19259.030893	7419.138214	5585.317784	14366.746625	13673.713109	0.530347	0.573585	19259.030893	12365.18517	11245.447157	8706.617251	8013.583735	.	100	100	100
9DXD-assembly1.cif	M1239v1TS204_2	214	34	0.231748	0.272335	19259.030893	7092.05985	5446.111718	15290.609523	13812.919175	0.821422	0.885109	19259.030893	19897.070857	17700.299214	3036.422027	1558.731679	.	100	100	100
9DXD-assembly1.cif	M1239v2TS204_1	214	138	0.231748	0.272335	19259.030893	7092.05985	5446.111718	15290.609523	13812.919175	0.821422	0.885109	19259.030893	19897.070857	17700.299214	3036.422027	1558.731679	.	100	100	100
9DXF-assembly1.cif	M1239v1TS462_3	215	92	0.224141	0.262407	19311.817793	6530.994691	5183.624488	15012.776477	14128.193305	0.461551	0.535579	19311.817793	13121.818283	10579.881619	9616.519347	8731.936175	.	100	100	100
9DXD-assembly1.cif	M1239v1TS462_5	214	94	0.222072	0.262495	19259.030893	7266.623396	5378.86796	16344.671448	13880.162933	0.480293	0.550541	19259.030893	13439.624959	11281.285181	10442.254227	7977.745712	.	100	100	100
9DXD-assembly1.cif	M1239v1TS462_1	214	90	0.215982	0.246314	19259.030893	6337.77901	5001.046668	16347.070355	14257.984225	0.475687	0.545725	19259.030893	13631.083226	11080.171287	10267.945736	8178.859606	.	100	100	100
9DXF-assembly1.cif	M1239v1TS462_4	215	93	0.214147	0.261023	19311.817793	6416.605012	5064.404487	14428.058517	14247.413307	0.489458	0.55498	19311.817793	12248.015248	10767.800779	8724.662225	8544.017014	.	100	100	100
9DXF-assembly1.cif	M1239v2TS110_4	215	129	0.211021	0.247059	19311.817793	6288.363488	4933.045377	15689.344572	14378.772416	0.476392	0.539687	19311.817793	13241.936895	10775.982915	9846.407034	8535.834878	.	100	100	100
9DXF-assembly1.cif	M1239v1TS462_2	215	91	0.209844	0.246076	19311.817793	6444.365666	4968.708814	16103.002749	14343.108979	0.53836	0.592188	19311.817793	13761.341953	11957.323025	9114.388539	7354.494768	.	100	100	100
9DXF-assembly1.cif	M1239v2TS294_2	215	179	0.209401	0.25136	19311.817793	6526.025402	4988.972721	15395.062623	14322.845073	0.495686	0.55547	19311.817793	12653.623523	11024.933801	9359.101543	8286.883993	.	100	100	100
9DXF-assembly1.cif	M1239v1TS110_3	215	23	0.209296	0.253723	19311.817793	6546.793344	5000.436315	15104.295671	14311.381478	0.522194	0.570022	19311.817793	12550.029173	11234.143195	8870.588791	8077.674598	.	100	100	100
9DXF-assembly1.cif	M1239v2TS294_3	215	180	0.208079	0.25389	19311.817793	6679.569	5025.583738	15251.260566	14286.234055	0.518378	0.568376	19311.817793	12648.544089	11250.624697	9026.219608	8061.193097	.	100	100	100
9DXF-assembly1.cif	M1239v2TS294_5	215	182	0.207646	0.251711	19311.817793	6546.91736	4971.585981	15218.989066	14340.231812	0.483651	0.55001	19311.817793	12562.984946	10863.356732	9327.218316	8448.461061	.	100	100	100
9DXF-assembly1.cif	M1239v2TS294_4	215	181	0.202352	0.241831	19311.817793	6429.898415	4830.14785	15804.572763	14481.669943	0.482441	0.555602	19311.817793	13059.414	11097.187641	9537.532971	8214.630152	.	100	100	100
9DXF-assembly1.cif	M1239v2TS294_1	215	178	0.200066	0.246129	19311.817793	6406.161405	4831.988504	15120.075905	14479.829289	0.525589	0.570771	19311.817793	12370.916231	11205.341002	8746.723407	8106.476792	.	100	100	100
9DXF-assembly1.cif	M1239v2TS481_3	215	206	0.193503	0.271155	19311.817793	8655.480113	5345.359704	14769.466059	13966.458089	0.882935	0.929861	19311.817793	19756.332555	18330.655539	1784.170224	981.162254	.	100	100	100
9DXF-assembly1.cif	M1239v1TS462_5	215	94	0.183175	0.220384	19311.817793	6155.526987	4521.772669	17201.766739	14790.045124	0.475185	0.547649	19311.817793	13432.844712	11236.489874	10487.049534	8075.32792	.	100	100	100
9DXD-assembly1.cif	M1239v1TS091_5	214	20	0.180285	0.213203	19259.030893	5938.043201	4379.228976	17442.093647	14879.801917	0.539328	0.601861	19259.030893	16224.778083	12362.322949	9458.999675	6896.707944	.	100	100	100
9DXD-assembly1.cif	M1239v2TS091_5	214	125	0.180285	0.213203	19259.030893	5938.043201	4379.228976	17442.093647	14879.801917	0.539328	0.601861	19259.030893	16224.778083	12362.322949	9458.999675	6896.707944	.	100	100	100
9DXF-assembly1.cif	M1239v1TS462_1	215	90	0.179151	0.204848	19311.817793	5266.746042	4164.544136	17183.572887	15147.273657	0.464065	0.541605	19311.817793	13633.090801	11010.818829	10337.298194	8300.998964	.	100	100	100
9DXD-assembly1.cif	M1239v1TS208_4	214	40	0.178859	0.220126	19259.030893	5681.726497	4243.729404	15054.437241	15015.301488	0.502799	0.569916	19259.030893	14054.087837	10987.186526	8310.98012	8271.844367	.	100	100	100
9DXF-assembly1.cif	M1239v1TS110_1	215	21	0.177866	0.222734	19311.817793	5547.082084	4264.761714	14718.009968	15047.056079	0.478965	0.545445	19311.817793	11832.866103	10443.786972	8538.984711	8868.030821	.	100	100	100
9DXD-assembly1.cif	M1239v2TS481_3	214	206	0.175301	0.247531	19259.030893	8020.554786	4873.118467	15241.707297	14385.912426	0.899971	0.934744	19259.030893	19756.332555	18402.231668	1712.594095	856.799225	.	100	100	100
9DXD-assembly1.cif	M1239v1TS208_2	214	39	0.17485	0.21796	19259.030893	5569.859026	4200.331327	15082.783127	15058.699565	0.504687	0.570972	19259.030893	14093.488202	11003.250848	8279.863607	8255.780045	.	100	100	100
9DXD-assembly1.cif	M1239v1TS208_1	214	38	0.171924	0.213349	19259.030893	5473.531076	4125.102188	15285.889214	15133.928705	0.512571	0.574001	19259.030893	14085.556049	11098.316378	8312.675024	8160.714515	.	100	100	100
9DXF-assembly1.cif	M1239v1TS294_2	215	69	0.171408	0.20493	19311.817793	5402.772107	4120.184302	16778.570105	15191.633491	0.515001	0.555334	19311.817793	13681.574917	11165.156999	9733.597409	8146.660795	.	100	100	100
9DXD-assembly1.cif	M1239v2TS028_5	214	115	0.168271	0.200239	19259.030893	5287.93574	3998.947084	16683.672091	15260.083808	0.513895	0.564173	19259.030893	15366.14606	11266.99481	9415.624365	7992.036082	.	100	100	100
9DXF-assembly1.cif	M1239v1TS294_3	215	70	0.167881	0.202529	19311.817793	5500.086066	4099.718849	17073.643988	15212.098944	0.520067	0.558817	19311.817793	13841.545597	11311.895958	9861.466879	7999.921835	.	100	100	100
9DXD-assembly1.cif	M1239v2TS286_2	214	174	0.167307	0.207514	19259.030893	5242.521385	3992.677721	15229.351235	15266.353172	0.467321	0.539011	19259.030893	14405.147653	10370.859782	8851.169174	8888.171111	.	100	100	100
9DXF-assembly1.cif	M1239v1TS294_4	215	71	0.165825	0.205383	19311.817793	5282.749185	3981.532132	15478.52195	15330.285661	0.49687	0.55976	19311.817793	12277.000197	10851.464847	8608.589236	8460.352947	.	100	100	100
9DXD-assembly1.cif	M1239v2TS028_3	214	113	0.164975	0.207213	19259.030893	5255.497295	3962.432163	15023.576547	15296.59873	0.506414	0.567664	19259.030893	13711.350816	10855.156585	8130.852125	8403.874307	.	100	100	100
9DXF-assembly1.cif	M1239v1TS294_5	215	72	0.162948	0.204108	19311.817793	5260.468099	3969.035588	15610.669758	15342.782205	0.496596	0.557592	19311.817793	12232.556874	10842.809412	8736.895935	8469.008381	.	100	100	100
9DXF-assembly1.cif	M1239v1TS091_5	215	20	0.161088	0.190774	19311.817793	5177.404633	3923.561194	17897.761429	15388.256599	0.532171	0.598745	19311.817793	14351.061923	12314.127917	9507.194706	6997.689876	.	100	100	100
9DXF-assembly1.cif	M1239v2TS091_5	215	125	0.161088	0.190774	19311.817793	5177.404633	3923.561194	17897.761429	15388.256599	0.532171	0.598745	19311.817793	14351.061923	12314.127917	9507.194706	6997.689876	.	100	100	100
9DXD-assembly1.cif	M1239v2TS167_2	214	134	0.160751	0.184315	19259.030893	4785.4829	3745.97343	17642.5862	15513.057463	0.531161	0.591018	19259.030893	13793.790472	12011.719333	9376.840297	7247.31156	.	100	100	100
9DXD-assembly1.cif	M1239v2TS450_2	214	195	0.160751	0.184315	19259.030893	4785.4829	3745.97343	17642.5862	15513.057463	0.531161	0.591018	19259.030893	13793.790472	12011.719333	9376.840297	7247.31156	.	100	100	100
9DXD-assembly1.cif	M1239v1TS033_2	214	12	0.160533	0.191738	19259.030893	5088.648617	3786.752527	16453.418772	15472.278366	0.512135	0.568282	19259.030893	15091.198621	11223.339056	9016.832243	8035.691836	.	100	100	100
9DXD-assembly1.cif	M1239v1TS110_1	214	21	0.160461	0.19872	19259.030893	4940.472926	3799.709749	15183.061934	15459.321144	0.496981	0.551522	19259.030893	13685.844223	10545.59961	8437.172073	8713.431283	.	100	100	100
9DXF-assembly1.cif	M1239v1TS208_4	215	40	0.159493	0.196813	19311.817793	4934.81625	3799.473105	15498.69354	15512.344689	0.490541	0.563631	19311.817793	12288.546668	10880.89483	8417.271815	8430.922963	.	100	100	100
9DXD-assembly1.cif	M1239v2TS167_1	214	133	0.158748	0.182403	19259.030893	4682.24873	3684.734465	17458.382788	15574.296428	0.526761	0.587514	19259.030893	13591.893331	11868.404491	9274.712762	7390.626402	.	100	100	100
9DXD-assembly1.cif	M1239v2TS450_1	214	194	0.158748	0.182403	19259.030893	4682.24873	3684.734465	17458.382788	15574.296428	0.526761	0.587514	19259.030893	13591.893331	11868.404491	9274.712762	7390.626402	.	100	100	100
9DXD-assembly1.cif	M1239v1TS033_1	214	11	0.158643	0.18233	19259.030893	4677.685164	3681.444017	17441.668614	15577.586876	0.526953	0.587643	19259.030893	13581.674532	11865.139313	9257.973318	7393.89158	.	100	100	100
9DXD-assembly1.cif	M1239v2TS167_3	214	135	0.157195	0.180586	19259.030893	4680.479814	3668.773733	17704.159437	15590.25716	0.539832	0.591537	19259.030893	13638.649389	12017.647587	9355.285583	7241.383306	.	100	100	100
9DXD-assembly1.cif	M1239v2TS450_3	214	196	0.157195	0.180586	19259.030893	4680.479814	3668.773733	17704.159437	15590.25716	0.539832	0.591537	19259.030893	13638.649389	12017.647587	9355.285583	7241.383306	.	100	100	100
9DXD-assembly1.cif	M1239v2TS167_5	214	137	0.156942	0.183208	19259.030893	5221.758213	3789.702746	18321.748715	15469.328147	0.514445	0.566596	19259.030893	14494.224557	11720.177255	10391.274207	7538.853638	.	100	100	100
