target	model	t_id	m_id	residue_sites_cadscore	residue_sites_F1_of_areas	residue_sites_target_area	residue_sites_model_area	residue_sites_TP_area	residue_sites_FP_area	residue_sites_FN_area	chain_sites_cadscore	chain_sites_F1_of_areas	chain_sites_target_area	chain_sites_model_area	chain_sites_TP_area	chain_sites_FP_area	chain_sites_FN_area	renaming_of_model_chains	identity_of_residues	identity_of_atoms	identity_of_chains
9DXD-assembly1.cif	M1239v2TS462_1	214	199	0.699127	0.774488	10108.665494	9726.323313	8131.497553	2758.2099	1977.167941	0.918948	0.960981	10108.665494	10889.707453	10089.522381	800.185072	19.143113	A=A,B=B,C=C,D=D,E=E,F=L,G=G,H=H,I=I,J=J,K=K,L=F	100	100	100
9DXD-assembly1.cif	M1239v1TS231_2	214	42	0.694502	0.712042	10108.665494	10645.430893	8440.453442	5158.617111	1668.212052	0.654712	0.852774	10108.665494	13599.070554	10108.665494	3490.40506	0	A=L,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS462_4	214	202	0.692229	0.737203	10108.665494	10043.245177	8171.583372	3888.90979	1937.082122	0.806915	0.911958	10108.665494	12060.493162	10108.665494	1951.827668	0	A=L,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS462_3	214	201	0.680195	0.745616	10108.665494	9973.201037	8092.104324	3505.067264	2016.56117	0.852749	0.931424	10108.665494	11597.171589	10108.665494	1488.506094	0	A=K,B=B,C=C,D=D,E=E,F=F,G=G,H=H,I=I,J=J,K=A,L=L	100	100	100
9DXD-assembly1.cif	M1239v1TS231_1	214	41	0.676415	0.693185	10108.665494	10710.350325	8311.726997	5560.865336	1796.938497	0.627653	0.843047	10108.665494	13872.592333	10108.665494	3763.926839	0	A=L,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS294_1	214	68	0.674537	0.729456	10108.665494	10694.192599	8278.426487	4310.449181	1830.239007	0.754645	0.890728	10108.665494	12588.875667	10108.665494	2480.210173	0	A=A,B=B,C=C,D=D,E=E,F=L,G=G,H=H,I=I,J=J,K=K,L=F	100	100	100
9DXD-assembly1.cif	M1239v1TS028_5	214	10	0.673591	0.720871	10108.665494	10077.972423	8010.233645	4104.878207	2098.431849	0.801512	0.909716	10108.665494	12115.111852	10108.665494	2006.446358	0	A=K,B=B,C=C,D=D,E=E,F=F,G=G,H=H,I=I,J=J,K=A,L=L	100	100	100
9DXD-assembly1.cif	M1239v2TS110_5	214	130	0.673587	0.720869	10108.665494	10077.829733	8010.159894	4104.801413	2098.5056	0.801527	0.909722	10108.665494	12114.961308	10108.665494	2006.295813	0	A=K,B=B,C=C,D=D,E=E,F=F,G=G,H=H,I=I,J=J,K=A,L=L	100	100	100
9DXF-assembly1.cif	M1239v2TS462_4	215	202	0.672323	0.706815	10179.362439	9167.659448	7859.727964	4200.765199	2319.634476	0.815202	0.915416	10179.362439	12060.493162	10179.362439	1881.130723	0	A=A,B=B,C=C,D=D,E=E,F=K,G=G,H=H,I=I,J=J,K=L,L=F	100	100	100
9DXD-assembly1.cif	M1239v2TS489_1	214	209	0.670575	0.702451	10108.665494	10423.307127	8124.14167	4898.02716	1984.523824	0.711782	0.874042	10108.665494	13022.16883	10108.665494	2913.503336	0	A=A,B=B,C=C,D=D,E=E,F=F,G=G,H=H,I=I,J=J,K=K,L=L	100	100	100
