name	threshold_10	threshold_20	threshold_30	threshold_40	threshold_50	threshold_60	threshold_70	threshold_80	threshold_90
M1239v1TS028_1	1	1	2	2	2	3	5	8	34
M1239v1TS028_2	1	1	2	2	2	3	5	8	35
M1239v1TS028_3	1	1	2	2	2	3	4	6	36
M1239v1TS028_4	1	1	2	2	2	3	4	6	37
M1239v1TS028_5	1	2	2	2	2	4	7	12	5
M1239v1TS033_1	1	1	1	1	1	2	3	7	3
M1239v1TS033_2	1	1	1	1	1	1	1	33	38
M1239v1TS033_3	1	1	1	1	1	1	1	34	39
M1239v1TS033_4	1	1	1	1	8	9	26	35	40
M1239v1TS033_5	1	1	1	1	1	2	3	36	41
M1239v1TS091_1	1	1	1	1	1	2	3	13	6
M1239v1TS091_2	1	1	1	1	1	2	14	14	7
M1239v1TS091_3	1	1	1	6	7	12	15	15	8
M1239v1TS091_4	1	1	1	1	8	13	16	16	9
M1239v1TS091_5	1	1	1	1	1	1	1	17	10
M1239v1TS110_1	1	1	1	1	1	1	1	3	42
M1239v1TS110_2	1	1	2	2	2	3	5	8	43
M1239v1TS110_3	1	1	1	6	7	1	8	37	44
M1239v1TS110_4	1	2	2	2	2	4	7	18	11
M1239v1TS110_5	1	1	1	2	2	3	4	19	12
M1239v1TS159_1	1	1	1	1	1	1	2	9	4
M1239v1TS159_2	1	1	1	1	1	1	2	4	2
M1239v1TS167_1	1	1	1	1	1	1	1	1	13
M1239v1TS167_2	1	1	1	1	1	1	1	3	14
M1239v1TS167_3	1	1	1	1	1	1	1	1	15
M1239v1TS167_4	1	1	1	1	1	1	1	1	16
M1239v1TS167_5	1	1	1	1	1	1	1	1	17
M1239v1TS204_1	1	1	1	2	2	3	4	20	18
M1239v1TS204_2	1	1	1	1	1	9	10	21	19
M1239v1TS204_3	1	1	1	1	1	1	1	38	45
M1239v1TS204_4	1	1	2	2	2	3	5	39	46
M1239v1TS204_5	1	1	1	1	1	1	1	40	47
M1239v1TS208_1	1	1	1	1	1	1	1	41	48
M1239v1TS208_2	1	1	1	1	1	1	1	22	49
M1239v1TS208_4	1	1	1	1	1	1	1	22	50
M1239v1TS231_1	1	1	1	1	1	2	3	42	51
M1239v1TS231_2	1	1	1	1	1	2	3	43	52
M1239v1TS235_1	1	1	1	4	5	7	27	44	53
M1239v1TS235_2	1	1	3	4	5	7	28	45	54
M1239v1TS235_3	1	1	3	4	5	7	17	46	55
M1239v1TS235_4	1	1	3	4	5	7	29	47	56
M1239v1TS235_5	1	1	1	4	5	7	30	48	57
M1239v1TS241_1	1	3	2	7	9	14	31	49	58
M1239v1TS241_2	1	2	2	3	4	5	32	50	59
M1239v1TS241_3	1	3	2	7	9	14	33	51	60
M1239v1TS241_4	1	2	4	3	10	17	34	52	61
M1239v1TS241_5	1	2	2	3	4	5	9	23	20
M1239v1TS262_1	1	1	1	1	11	15	18	24	21
M1239v1TS262_2	1	1	1	1	1	10	19	25	22
