threshold_percents	cluster_id	representative	cluster_size

10	1	M1239v1TS028_1	214

20	1	M1239v1TS369_1	195
20	2	M1239v1TS241_1	19

30	1	M1239v1TS014_1	184
30	2	M1239v1TS241_1	20
30	3	M1239v1TS272_1	8
30	4	M1239v1TS272_5	2

40	1	M1239v1TS028_5	184
40	2	M1239v1TS241_1	20
40	3	M1239v1TS272_2	6
40	4	M1239v1TS272_1	2
40	5	M1239v1TS272_5	2

50	1	M1239v1TS462_1	170
50	2	M1239v1TS241_1	20
50	3	M1239v1TS014_1	12
50	4	M1239v1TS272_2	4
50	5	M1239v1TS204_1	2
50	6	M1239v1TS272_1	2
50	7	M1239v1TS272_3	2
50	8	M1239v1TS272_5	2

60	1	M1239v1TS489_3	138
60	2	M1239v2TS462_3	14
60	3	M1239v1TS241_3	13
60	4	M1239v1TS014_1	12
60	5	M1239v1TS241_2	7
60	6	M1239v1TS091_5	5
60	7	M1239v1TS110_4	4
60	8	M1239v1TS167_3	4
60	9	M1239v1TS204_1	3
60	10	M1239v1TS110_5	2
60	11	M1239v1TS272_1	2
60	12	M1239v1TS272_2	2
60	13	M1239v1TS272_3	2
60	14	M1239v1TS272_4	2
60	15	M1239v1TS272_5	2
60	16	M1239v2TS167_4	2

70	1	M1239v1TS462_4	70
70	2	M1239v1TS033_2	30
70	3	M1239v1TS014_1	12
70	4	M1239v1TS241_3	12
70	5	M1239v1TS462_3	12
70	6	M1239v1TS028_2	10
70	7	M1239v1TS241_2	7
70	8	M1239v1TS028_5	6
70	9	M1239v1TS167_3	4
70	10	M1239v1TS369_2	4
70	11	M1239v1TS110_4	3
70	12	M1239v1TS231_1	3
70	13	M1239v2TS231_1	4
70	14	M1239v2TS262_1	3
70	15	M1239v1TS091_5	2
70	16	M1239v1TS110_5	2
70	17	M1239v1TS204_1	2
70	18	M1239v1TS262_1	2
70	19	M1239v1TS272_1	2
70	20	M1239v1TS272_2	2
70	21	M1239v1TS272_3	2
70	22	M1239v1TS272_4	2
70	23	M1239v1TS272_5	2
70	24	M1239v2TS110_3	2
70	25	M1239v2TS167_4	2
70	26	M1239v2TS167_5	2
70	27	M1239v2TS231_2	2
70	28	M1239v1TS033_3	1
70	29	M1239v1TS204_4	1
70	30	M1239v1TS304_5	1
70	31	M1239v2TS033_5	1
70	32	M1239v2TS204_5	1
70	33	M1239v2TS286_3	1
70	34	M1239v2TS481_2	1
70	35	M1239v2TS481_3	1

80	1	M1239v1TS294_5	31
80	2	M1239v1TS014_1	12
80	3	M1239v1TS028_2	9
80	4	M1239v1TS294_2	9
80	5	M1239v1TS033_1	7
80	6	M1239v1TS167_4	7
80	7	M1239v1TS235_3	8
80	8	M1239v1TS241_4	6
80	9	M1239v1TS159_2	4
80	10	M1239v1TS204_2	4
80	11	M1239v2TS208_4	4
80	12	M1239v1TS033_2	3
80	13	M1239v1TS304_4	3
80	14	M1239v2TS262_1	3
80	15	M1239v1TS028_5	2
80	16	M1239v1TS091_1	2
80	17	M1239v1TS091_2	2
80	18	M1239v1TS091_5	2
80	19	M1239v1TS110_4	2
80	20	M1239v1TS110_5	2
80	21	M1239v1TS167_3	2
80	22	M1239v1TS167_5	2
80	23	M1239v1TS204_1	2
80	24	M1239v1TS231_1	2
80	25	M1239v1TS262_1	2
80	26	M1239v1TS262_2	2
80	27	M1239v1TS272_1	2
80	28	M1239v1TS272_2	2
80	29	M1239v1TS272_3	2
80	30	M1239v1TS272_4	2
80	31	M1239v1TS272_5	2
80	32	M1239v1TS369_1	2
80	33	M1239v1TS369_2	2
80	34	M1239v1TS369_4	2
80	35	M1239v1TS489_5	2
80	36	M1239v2TS167_4	2
80	37	M1239v2TS167_5	2
80	38	M1239v2TS208_1	2
80	39	M1239v2TS262_2	2
80	40	M1239v2TS489_1	2
80	41	M1239v1TS033_3	1
80	42	M1239v1TS033_5	1
80	43	M1239v1TS204_4	1
80	44	M1239v1TS235_4	1
80	45	M1239v1TS241_1	1
80	46	M1239v1TS262_4	1
80	47	M1239v1TS286_1	1
80	48	M1239v1TS286_2	1
80	49	M1239v1TS286_3	1
80	50	M1239v1TS286_5	1
80	51	M1239v1TS294_1	1
80	52	M1239v1TS304_2	1
80	53	M1239v1TS304_5	1
80	54	M1239v1TS462_1	1
80	55	M1239v1TS462_3	1
80	56	M1239v1TS481_5	1
80	57	M1239v2TS033_2	1
80	58	M1239v2TS033_3	1
80	59	M1239v2TS033_4	1
80	60	M1239v2TS033_5	1
80	61	M1239v2TS110_3	1
80	62	M1239v2TS110_4	1
80	63	M1239v2TS204_3	1
80	64	M1239v2TS204_4	1
80	65	M1239v2TS204_5	1
80	66	M1239v2TS231_1	1
80	67	M1239v2TS231_2	1
80	68	M1239v2TS231_3	1
80	69	M1239v2TS231_4	1
80	70	M1239v2TS231_5	1
80	71	M1239v2TS235_5	1
80	72	M1239v2TS241_2	1
80	73	M1239v2TS241_3	1
80	74	M1239v2TS241_4	1
80	75	M1239v2TS241_5	1
80	76	M1239v2TS286_1	1
80	77	M1239v2TS286_2	1
80	78	M1239v2TS286_3	1
80	79	M1239v2TS286_5	1
80	80	M1239v2TS304_1	1
80	81	M1239v2TS304_2	1
80	82	M1239v2TS304_3	1
80	83	M1239v2TS304_5	1
80	84	M1239v2TS462_1	1
80	85	M1239v2TS462_3	1
80	86	M1239v2TS462_4	1
80	87	M1239v2TS462_5	1
80	88	M1239v2TS481_1	1
80	89	M1239v2TS481_2	1
80	90	M1239v2TS481_3	1
80	91	M1239v2TS481_5	1
80	92	M1239v2TS489_3	1

90	1	M1239v1TS014_1	6
90	2	M1239v2TS014_5	5
90	3	M1239v1TS159_2	4
90	4	M1239v1TS033_1	3
90	5	M1239v1TS159_1	3
90	6	M1239v1TS481_4	3
90	7	M1239v2TS262_1	3
90	8	M1239v1TS028_5	2
90	9	M1239v1TS091_1	2
