target	model	t_id	m_id	residue_sites_cadscore	residue_sites_F1_of_areas	residue_sites_target_area	residue_sites_model_area	residue_sites_TP_area	residue_sites_FP_area	residue_sites_FN_area	chain_sites_cadscore	chain_sites_F1_of_areas	chain_sites_target_area	chain_sites_model_area	chain_sites_TP_area	chain_sites_FP_area	chain_sites_FN_area	renaming_of_model_chains	identity_of_residues	identity_of_atoms	identity_of_chains
9DXF-assembly1.cif	M1239v2TS033_4	215	119	0.700839	0.798535	14222.136574	14724.428801	11960.784777	3773.914317	2261.351796	0.893647	0.949509	14222.136574	15734.699094	14222.136574	1512.562521	0	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v1TS204_1	214	33	0.698173	0.810876	14204.698146	13695.529675	11587.433783	2787.906003	2617.264363	0.947954	0.974132	14204.698146	14375.339786	13920.371826	454.96796	284.32632	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXF-assembly1.cif	M1239v2TS294_3	215	180	0.697698	0.796388	14222.136574	14267.217394	11717.982627	3487.71039	2504.153946	0.930843	0.966577	14222.136574	15205.693018	14222.136574	983.556444	0	A=K,B=G,C=H,D=I,E=J,F=L,G=B,H=C,I=D,J=E,K=F,L=A	100	100	100
9DXD-assembly1.cif	M1239v2TS204_2	214	139	0.697273	0.810546	14204.698146	13711.062478	11588.942003	2801.772457	2615.756142	0.949156	0.974743	14204.698146	14390.714461	13936.596086	454.118375	268.10206	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v1TS110_5	214	25	0.696926	0.810345	14204.698146	13356.989353	11394.911959	2524.007926	2809.786186	0.962691	0.981156	14204.698146	13918.919885	13796.828396	122.091488	407.869749	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXD-assembly1.cif	M1239v2TS110_2	214	127	0.696926	0.810345	14204.698146	13356.989353	11394.911959	2524.007926	2809.786186	0.962691	0.981156	14204.698146	13918.919885	13796.828396	122.091488	407.869749	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
9DXF-assembly1.cif	M1239v1TS204_1	215	33	0.6965	0.81255	14222.136574	13693.488975	11618.438666	2756.90112	2603.697908	0.947378	0.97383	14222.136574	14375.339786	13924.536889	450.802897	297.599684	A=F,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=L,L=K	100	100	100
9DXF-assembly1.cif	M1239v2TS204_2	215	139	0.695605	0.81223	14222.136574	13708.940954	11620.107393	2770.607067	2602.02918	0.948578	0.974441	14222.136574	14390.714461	13940.761149	449.953311	281.375424	A=F,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=L,L=K	100	100	100
9DXF-assembly1.cif	M1239v1TS369_4	215	83	0.692794	0.799969	14222.136574	13486.944382	11460.433372	2969.610126	2761.703201	0.93833	0.969389	14222.136574	14430.043498	13887.552483	542.491015	334.584091	A=F,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=L,L=K	100	100	100
9DXF-assembly1.cif	M1239v2TS369_4	215	192	0.692794	0.799969	14222.136574	13486.944382	11460.433372	2969.610126	2761.703201	0.93833	0.969389	14222.136574	14430.043498	13887.552483	542.491015	334.584091	A=F,B=B,C=C,D=D,E=E,F=A,G=G,H=H,I=I,J=J,K=L,L=K	100	100	100
9DXF-assembly1.cif	M1239v1TS167_4	215	31	0.69278	0.796148	14222.136574	13740.840301	11541.83863	3230.226798	2680.297944	0.951463	0.976192	14222.136574	14772.065428	14151.951663	620.113765	70.184911	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXF-assembly1.cif	M1239v1TS450_4	215	88	0.69278	0.796148	14222.136574	13740.840301	11541.83863	3230.226798	2680.297944	0.951463	0.976192	14222.136574	14772.065428	14151.951663	620.113765	70.184911	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXD-assembly1.cif	M1239v2TS033_4	214	119	0.692654	0.793742	14204.698146	14713.102212	11882.078926	3852.620169	2322.61922	0.892289	0.948897	14204.698146	15734.699094	14204.698146	1530.000949	0	A=L,B=G,C=H,D=D,E=E,F=A,G=B,H=C,I=I,J=J,K=F,L=K	100	100	100
9DXF-assembly1.cif	M1239v2TS033_5	215	120	0.69244	0.80839	14222.136574	13265.759638	11366.877422	2533.251924	2855.259151	0.955909	0.977702	14222.136574	13900.129347	13747.597426	152.531921	474.539148	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=A,L=L	100	100	100
9DXF-assembly1.cif	M1239v1TS159_2	215	27	0.692349	0.792361	14222.136574	13940.862586	11548.317592	3378.67606	2673.818982	0.939939	0.970696	14222.136574	14926.993652	14147.465184	779.528468	74.67139	A=F,B=B,C=C,D=I,E=J,F=K,G=G,H=H,I=D,J=E,K=L,L=A	100	100	100
