target	model	t_id	m_id	residue_residue_cadscore	residue_residue_F1_of_areas	residue_residue_target_area	residue_residue_model_area	residue_residue_TP_area	residue_residue_FP_area	residue_residue_FN_area	chain_chain_cadscore	chain_chain_F1_of_areas	chain_chain_target_area	chain_chain_model_area	chain_chain_TP_area	chain_chain_FP_area	chain_chain_FN_area	identity_of_residues	identity_of_atoms	identity_of_chains
9DXF-assembly1.cif	M1239v1TS294_3	215	70	0.023077	0.028414	28474.187503	767.408257	705.350806	20468.012031	27768.836697	0.124488	0.143697	28474.187503	3589.489876	3567.097568	17606.265269	24907.089935	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS208_3	215	145	0.022629	0.031284	28474.187503	879.680482	749.405535	18686.437666	27724.781968	0.090233	0.107255	28474.187503	2569.298174	2569.298174	16866.545028	25904.88933	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS294_3	214	70	0.022562	0.027688	28479.14034	750.45537	687.391863	20485.970974	27791.748476	0.121604	0.14204	28479.14034	3589.489876	3526.327557	17647.035281	24952.812783	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS159_2	215	27	0.022543	0.030455	28474.187503	886.697091	744.142832	19649.495566	27730.044671	0.112438	0.13103	28474.187503	3201.587085	3201.587085	17192.051314	25272.600419	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS325_2	215	79	0.022543	0.030455	28474.187503	886.697091	744.142832	19649.495566	27730.044671	0.112438	0.13103	28474.187503	3201.587085	3201.587085	17192.051314	25272.600419	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS159_2	215	132	0.022543	0.030455	28474.187503	886.697091	744.142832	19649.495566	27730.044671	0.112438	0.13103	28474.187503	3201.587085	3201.587085	17192.051314	25272.600419	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS325_2	215	188	0.022543	0.030455	28474.187503	886.697091	744.142832	19649.495566	27730.044671	0.112438	0.13103	28474.187503	3201.587085	3201.587085	17192.051314	25272.600419	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS481_3	215	206	0.022479	0.029701	28474.187503	836.517257	721.568834	19393.256929	27752.618669	0.138903	0.1628	28474.187503	3955.136668	3955.136668	16159.689095	24519.050835	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS235_4	215	156	0.022445	0.036106	28474.187503	849.855462	729.848916	11223.941122	27744.338587	0.082084	0.115626	28474.187503	2337.271281	2337.271281	9616.518757	26136.916223	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS208_1	215	143	0.022349	0.030783	28474.187503	861.827431	732.491265	18384.246438	27741.696238	0.086527	0.10354	28474.187503	2463.779666	2463.779666	16652.958037	26010.407837	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS208_3	214	145	0.022209	0.030491	28479.14034	866.659336	730.490482	18705.35272	27748.649858	0.090217	0.107244	28479.14034	2569.298174	2569.298174	16866.545028	25909.842166	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS294_2	215	69	0.022185	0.027535	28474.187503	740.435709	679.734453	20219.019955	27794.45305	0.125185	0.146598	28474.187503	3673.455201	3618.997514	17279.756894	24855.18999	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS208_4	214	146	0.022156	0.030551	28479.14034	891.025099	728.47557	18482.112321	27750.66477	0.090373	0.107937	28479.14034	2573.734169	2573.734169	16636.853723	25905.406171	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS208_5	214	147	0.022054	0.030125	28479.14034	854.78426	717.212068	18419.161275	27761.928272	0.091958	0.110001	28479.14034	2618.880235	2618.880235	16517.493109	25860.260105	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS208_5	215	147	0.022022	0.030785	28474.187503	879.738366	732.836932	18403.536411	27741.350571	0.091974	0.110013	28474.187503	2618.880235	2618.880235	16517.493109	25855.307269	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS235_4	214	156	0.021992	0.035391	28479.14034	839.393312	715.472156	11238.317882	27763.668184	0.08207	0.115612	28479.14034	2337.271281	2337.271281	9616.518757	26141.869059	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS033_3	214	13	0.021992	0.02842	28479.14034	829.468006	704.304341	20380.529091	27774.835999	0.15321	0.176067	28479.14034	4363.297485	4363.297485	16721.535946	24115.842855	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS481_3	214	206	0.021982	0.028839	28479.14034	804.065308	700.706189	19414.119574	27778.434151	0.138878	0.162783	28479.14034	3955.136668	3955.136668	16159.689095	24524.003672	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS294_2	214	69	0.02198	0.027284	28479.14034	732.214845	673.620589	20225.133818	27805.519751	0.1223	0.144932	28479.14034	3673.455201	3578.227502	17320.526906	24900.912838	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS294_4	215	71	0.021847	0.029878	28474.187503	837.060955	716.098893	18743.955189	27758.08861	0.096374	0.114497	28474.187503	2744.171442	2744.171442	16715.882641	25730.016062	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS489_3	215	102	0.021818	0.029714	28474.187503	832.446108	712.906058	18798.157795	27761.281446	0.101959	0.121004	28474.187503	2903.203491	2903.203491	16607.860362	25570.984013	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS481_5	214	208	0.021783	0.026774	28479.14034	723.050153	665.228568	20548.173489	27813.911772	0.109876	0.125942	28479.14034	3129.185675	3129.185675	18084.216381	25349.954665	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS091_4	214	19	0.021774	0.027752	28479.14034	840.901377	701.949085	21405.368593	27777.191255	0.103862	0.116945	28479.14034	2957.910834	2957.910834	19149.406843	25521.229506	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS091_4	214	124	0.021774	0.027752	28479.14034	840.901377	701.949085	21405.368593	27777.191255	0.103862	0.116945	28479.14034	2957.910834	2957.910834	19149.406843	25521.229506	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS208_4	215	146	0.021685	0.030921	28474.187503	919.292049	737.22434	18473.363551	27736.963164	0.090388	0.107948	28474.187503	2573.734169	2573.734169	16636.853723	25900.453335	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS208_2	214	144	0.021679	0.029309	28479.14034	855.382122	707.139779	19067.709938	27772.000561	0.091675	0.108212	28479.14034	2610.836203	2610.836203	17164.013515	25868.304137	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS091_4	215	19	0.021652	0.028065	28474.187503	838.975981	709.777759	21397.539918	27764.409744	0.10388	0.116956	28474.187503	2957.910834	2957.910834	19149.406843	25516.276669	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS091_4	215	124	0.021652	0.028065	28474.187503	838.975981	709.777759	21397.539918	27764.409744	0.10388	0.116956	28474.187503	2957.910834	2957.910834	19149.406843	25516.276669	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS033_3	215	13	0.02165	0.028782	28474.187503	833.924404	713.212163	20371.621269	27760.975341	0.153237	0.176085	28474.187503	4363.297485	4363.297485	16721.535946	24110.890018	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS208_1	214	143	0.021643	0.029823	28479.14034	844.119078	709.716646	18407.021057	27769.423694	0.086512	0.103529	28479.14034	2463.779666	2463.779666	16652.958037	26015.360674	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS028_1	214	111	0.021642	0.030042	28479.14034	833.732334	698.646465	17333.162555	27780.493875	0.075923	0.092977	28479.14034	2162.230541	2162.230541	15869.578478	26316.909799	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS489_4	215	103	0.021611	0.029465	28474.187503	847.016798	712.92554	19203.492293	27761.261964	0.103788	0.122142	28474.187503	2955.265808	2955.265808	16961.152025	25518.921695	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS481_1	215	204	0.021574	0.028473	28474.187503	817.32802	706.449349	20442.637502	27767.738154	0.134571	0.154436	28474.187503	3831.802156	3831.802156	17317.284695	24642.385348	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS481_5	215	208	0.021539	0.026799	28474.187503	735.57548	665.795537	20547.60652	27808.391967	0.109896	0.125954	28474.187503	3129.185675	3129.185675	18084.216381	25345.001828	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS204_2	215	34	0.021532	0.029188	28474.187503	838.472419	718.180977	20018.540264	27756.006526	0.106551	0.123304	28474.187503	3033.956044	3033.956044	17702.765197	25440.23146	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS204_1	215	138	0.021532	0.029188	28474.187503	838.472419	718.180977	20018.540264	27756.006526	0.106551	0.123304	28474.187503	3033.956044	3033.956044	17702.765197	25440.23146	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS294_5	215	72	0.021454	0.02926	28474.187503	826.49066	703.03951	18876.665837	27771.147994	0.094645	0.112164	28474.187503	2694.950203	2694.950203	16884.755144	25779.2373	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS489_3	214	102	0.021422	0.029072	28479.14034	821.848128	697.585208	18813.478644	27781.555131	0.101941	0.120992	28479.14034	2903.203491	2903.203491	16607.860362	25575.936849	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS208_2	215	144	0.021395	0.029536	28474.187503	870.598556	712.552283	19062.297435	27761.635221	0.091691	0.108223	28474.187503	2610.836203	2610.836203	17164.013515	25863.351301	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS294_5	214	72	0.021296	0.028943	28479.14034	823.883496	695.495461	18884.209885	27783.644878	0.094629	0.112152	28479.14034	2694.950203	2694.950203	16884.755144	25784.190137	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS489_1	215	100	0.021234	0.029625	28474.187503	877.706001	718.116493	19287.460016	27756.07101	0.106655	0.125286	28474.187503	3036.920811	3036.920811	16968.655698	25437.266693	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS204_2	214	34	0.021232	0.028405	28479.14034	836.820948	698.985395	20037.735846	27780.154945	0.106533	0.123292	28479.14034	3033.956044	3033.956044	17702.765197	25445.184296	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS204_1	214	138	0.021232	0.028405	28479.14034	836.820948	698.985395	20037.735846	27780.154945	0.106533	0.123292	28479.14034	3033.956044	3033.956044	17702.765197	25445.184296	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS294_4	214	71	0.021212	0.02939	28479.14034	840.981309	704.456212	18755.597871	27774.684128	0.096357	0.114486	28479.14034	2744.171442	2744.171442	16715.882641	25734.968898	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS481_1	214	204	0.021205	0.028059	28479.14034	821.812815	696.251636	20452.835215	27782.888703	0.134548	0.15442	28479.14034	3831.802156	3831.802156	17317.284695	24647.338184	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS159_2	214	27	0.021198	0.02967	28479.14034	884.95531	725.02008	19668.618318	27754.12026	0.112419	0.131017	28479.14034	3201.587085	3201.587085	17192.051314	25277.553255	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS325_2	214	79	0.021198	0.02967	28479.14034	884.95531	725.02008	19668.618318	27754.12026	0.112419	0.131017	28479.14034	3201.587085	3201.587085	17192.051314	25277.553255	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS159_2	214	132	0.021198	0.02967	28479.14034	884.95531	725.02008	19668.618318	27754.12026	0.112419	0.131017	28479.14034	3201.587085	3201.587085	17192.051314	25277.553255	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS325_2	214	188	0.021198	0.02967	28479.14034	884.95531	725.02008	19668.618318	27754.12026	0.112419	0.131017	28479.14034	3201.587085	3201.587085	17192.051314	25277.553255	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS489_4	214	103	0.021197	0.028844	28479.14034	830.955979	697.967666	19218.450166	27781.172674	0.103769	0.12213	28479.14034	2955.265808	2955.265808	16961.152025	25523.874532	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS286_4	215	176	0.021162	0.030381	28474.187503	880.010578	709.592352	17529.628405	27764.595151	0.104516	0.127415	28474.187503	2975.996407	2975.996407	15263.224351	25498.191097	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS028_4	214	9	0.021149	0.029005	28479.14034	810.68295	680.512681	17764.466361	27798.627659	0.073982	0.089802	28479.14034	2106.938218	2106.938218	16338.040825	26372.202122	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS286_4	214	176	0.021136	0.0299	28479.14034	848.76572	698.448297	17540.77246	27780.692043	0.104497	0.127402	28479.14034	2975.996407	2975.996407	15263.224351	25503.143933	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS028_3	214	8	0.021111	0.029462	28479.14034	831.310603	685.035613	17338.270104	27794.104727	0.076733	0.093985	28479.14034	2185.277338	2185.277338	15838.028379	26293.863002	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS028_1	215	111	0.021015	0.029916	28474.187503	837.226001	695.636674	17336.172346	27778.55083	0.075937	0.092987	28474.187503	2162.230541	2162.230541	15869.578478	26311.956962	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS489_2	214	101	0.02092	0.028816	28479.14034	853.796081	698.528115	19304.4183	27780.612224	0.103335	0.121402	28479.14034	2942.906101	2942.906101	17060.040314	25536.234239	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS489_2	215	101	0.02085	0.029168	28474.187503	869.417808	706.97898	19295.967435	27767.208523	0.103353	0.121414	28474.187503	2942.906101	2942.906101	17060.040314	25531.281402	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v1TS489_1	214	100	0.020814	0.028953	28479.14034	864.332249	701.879199	19303.69731	27777.261141	0.106637	0.125273	28479.14034	3036.920811	3036.920811	16968.655698	25442.219529	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS204_3	215	140	0.020719	0.027437	28474.187503	791.391175	677.737879	20251.687007	27796.449625	0.148069	0.170681	28474.187503	4216.138474	4216.138474	16713.286412	24258.04903	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS159_1	215	26	0.020705	0.02879	28474.187503	865.5511	698.293925	19337.078786	27775.893579	0.106297	0.124789	28474.187503	3026.722148	3026.722148	17008.650562	25447.465355	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS325_1	215	78	0.020705	0.02879	28474.187503	865.5511	698.293925	19337.078786	27775.893579	0.106297	0.124789	28474.187503	3026.722148	3026.722148	17008.650562	25447.465355	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS159_1	215	131	0.020705	0.02879	28474.187503	865.5511	698.293925	19337.078786	27775.893579	0.106297	0.124789	28474.187503	3026.722148	3026.722148	17008.650562	25447.465355	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS033_3	214	118	0.020696	0.026127	28479.14034	714.267386	645.735586	20305.77727	27833.404754	0.120046	0.140995	28479.14034	3550.660736	3484.73004	17466.782816	24994.4103	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS033_3	215	118	0.020666	0.026217	28474.187503	735.735649	647.885981	20303.626875	27826.301522	0.12293	0.142659	28474.187503	3550.660736	3525.500052	17426.012804	24948.687451	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS286_5	215	177	0.02061	0.028176	28474.187503	766.785112	664.497942	18029.522004	27809.689562	0.135661	0.16379	28474.187503	3862.847223	3862.847223	14831.172722	24611.34028	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS110_3	215	128	0.020588	0.029394	28474.187503	895.674796	711.885341	19251.195684	27762.302163	0.125297	0.147314	28474.187503	3567.740547	3567.740547	16395.340478	24906.446957	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS028_4	215	9	0.020581	0.02892	28474.187503	804.2174	678.444786	17766.534257	27795.742718	0.073995	0.089811	28474.187503	2106.938218	2106.938218	16338.040825	26367.249286	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS110_3	214	128	0.020507	0.028764	28479.14034	885.827091	696.690269	19266.390755	27782.450071	0.125276	0.147299	28479.14034	3567.740547	3567.740547	16395.340478	24911.399793	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS159_1	214	26	0.020438	0.028337	28479.14034	856.926569	687.370618	19348.002092	27791.769722	0.106279	0.124776	28479.14034	3026.722148	3026.722148	17008.650562	25452.418191	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS325_1	214	78	0.020438	0.028337	28479.14034	856.926569	687.370618	19348.002092	27791.769722	0.106279	0.124776	28479.14034	3026.722148	3026.722148	17008.650562	25452.418191	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS159_1	214	131	0.020438	0.028337	28479.14034	856.926569	687.370618	19348.002092	27791.769722	0.106279	0.124776	28479.14034	3026.722148	3026.722148	17008.650562	25452.418191	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS286_5	214	177	0.020404	0.027922	28479.14034	756.157572	658.590826	18035.42912	27820.549514	0.135638	0.163773	28479.14034	3862.847223	3862.847223	14831.172722	24616.293116	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS204_5	214	142	0.020356	0.028241	28479.14034	889.29249	695.867455	20106.449379	27783.272884	0.153171	0.177032	28479.14034	4362.190638	4362.190638	16440.126197	24116.949702	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS204_5	215	142	0.020205	0.028685	28474.187503	891.157391	706.756849	20095.559985	27767.430655	0.153198	0.17705	28474.187503	4362.190638	4362.190638	16440.126197	24111.996866	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS028_3	215	8	0.020138	0.029253	28474.187503	830.388942	680.08675	17343.218967	27794.100754	0.076746	0.093995	28474.187503	2185.277338	2185.277338	15838.028379	26288.910165	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS204_3	214	140	0.020033	0.026985	28479.14034	780.766827	666.653039	20262.771846	27812.487301	0.148043	0.170664	28479.14034	4216.138474	4216.138474	16713.286412	24263.001866	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v2TS286_3	214	175	0.019869	0.025919	28479.14034	772.963048	650.040852	21029.935679	27829.099488	0.095054	0.14096	28479.14034	4363.397566	3535.220767	18144.755764	24943.919573	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v2TS204_4	215	141	0.019861	0.025894	28474.187503	742.354899	643.630385	20594.790656	27830.557118	0.157673	0.180623	28474.187503	4489.610054	4489.610054	16748.810987	23984.57745	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS286_3	215	175	0.019772	0.025589	28474.187503	788.377785	641.685807	21038.290725	27832.501697	0.097934	0.1426	28474.187503	4363.397566	3575.990779	18103.985753	24898.196724	41.525424	36.416833	25
9DXD-assembly1.cif	M1239v2TS204_4	214	141	0.019644	0.025614	28479.14034	736.48533	636.740162	20601.680879	27842.400177	0.157646	0.180605	28479.14034	4489.610054	4489.610054	16748.810987	23989.530286	41.531948	36.425846	25
9DXD-assembly1.cif	M1239v1TS110_1	214	21	0.018969	0.027545	28479.14034	802.080088	653.678151	18329.093531	27825.462189	0.080947	0.097143	28479.14034	2305.29355	2305.29355	16677.478133	26173.84679	41.531948	36.425846	25
9DXF-assembly1.cif	M1239v1TS110_1	215	21	0.018758	0.027314	28474.187503	787.466816	648.12852	18334.643163	27826.058984	0.080961	0.097153	28474.187503	2305.29355	2305.29355	16677.478133	26168.893954	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS272_2	215	59	0.001744	0.002468	28474.187503	67.629563	57.245948	17850.25248	28416.941556	0.098686	0.121168	28474.187503	2809.994065	2809.994065	15097.504363	25664.193438	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS272_2	215	169	0.001744	0.002468	28474.187503	67.629563	57.245948	17850.25248	28416.941556	0.098686	0.121168	28474.187503	2809.994065	2809.994065	15097.504363	25664.193438	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS272_1	215	58	0.001744	0.002353	28474.187503	67.624337	57.242353	20131.384132	28416.945151	0.036584	0.042813	28474.187503	1041.705039	1041.705039	19146.921445	27432.482464	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS272_1	215	168	0.001744	0.002353	28474.187503	67.624337	57.242353	20131.384132	28416.945151	0.036584	0.042813	28474.187503	1041.705039	1041.705039	19146.921445	27432.482464	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS272_3	215	60	0.001744	0.002434	28474.187503	67.625022	57.24263	18509.055537	28416.944873	0.099432	0.120375	28474.187503	2831.244948	2831.244948	15735.053219	25642.942555	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS272_3	215	170	0.001744	0.002434	28474.187503	67.625022	57.24263	18509.055537	28416.944873	0.099432	0.120375	28474.187503	2831.244948	2831.244948	15735.053219	25642.942555	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS272_5	215	62	0.001744	0.002355	28474.187503	67.620008	57.237625	20087.76892	28416.949879	0.092677	0.108554	28474.187503	2638.899539	2638.899539	17506.107006	25835.287965	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS272_5	215	172	0.001744	0.002355	28474.187503	67.620008	57.237625	20087.76892	28416.949879	0.092677	0.108554	28474.187503	2638.899539	2638.899539	17506.107006	25835.287965	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v1TS272_4	215	61	0.001744	0.002455	28474.187503	67.618533	57.238369	18099.047295	28416.949135	0.08992	0.109816	28474.187503	2560.391392	2560.391392	15595.894272	25913.796111	41.525424	36.416833	25
9DXF-assembly1.cif	M1239v2TS272_4	215	171	0.001744	0.002455	28474.187503	67.618533	57.238369	18099.047295	28416.949135	0.08992	0.109816	28474.187503	2560.391392	2560.391392	15595.894272	25913.796111	41.525424	36.416833	25
